Nama,Khasiat,Produsen,Kategori,Khasiat_Length,Case_folding,punctuation_removal,tokenizing,stopwordremoval,stemming
Galian Rapat Wangi,"mengurangi bau badan, mengurangi bau tidak sedap serta membuat rapet dan keset area kewanitaan",Madura Sari,Jamu Perawatan Kewanitaan,94,"mengurangi bau badan, mengurangi bau tidak sedap serta membuat rapet dan keset area kewanitaan",mengurangi bau badan mengurangi bau tidak sedap serta membuat rapet dan keset area kewanitaan,"['mengurangi', 'bau', 'badan', 'mengurangi', 'bau', 'tidak', 'sedap', 'serta', 'membuat', 'rapet', 'dan', 'keset', 'area', 'kewanitaan']","['mengurangi', 'bau', 'badan', 'mengurangi', 'bau', 'sedap', 'rapet', 'keset', 'area', 'kewanitaan']","['kurang', 'bau', 'badan', 'kurang', 'bau', 'sedap', 'rapet', 'keset', 'area', 'wanita']"
Empot-empot legit,"Mengurangi lendir berlebih, mengatasi keputihan serta menimbulkan sensasi denyut saat berhubungan",Madura Sari,Jamu Pasutri,97,"mengurangi lendir berlebih, mengatasi keputihan serta menimbulkan sensasi denyut saat berhubungan",mengurangi lendir berlebih mengatasi keputihan serta menimbulkan sensasi denyut saat berhubungan,"['mengurangi', 'lendir', 'berlebih', 'mengatasi', 'keputihan', 'serta', 'menimbulkan', 'sensasi', 'denyut', 'saat', 'berhubungan']","['mengurangi', 'lendir', 'berlebih', 'mengatasi', 'keputihan', 'menimbulkan', 'sensasi', 'denyut', 'berhubungan']","['kurang', 'lendir', 'lebih', 'atas', 'putih', 'timbul', 'sensasi', 'denyut', 'hubung']"
galian singset,"mengurangi lemak dalam tubuh, menambah nafsu makan dan melancarkan BAB",Madura Sari,Jamu Kesehatan,70,"mengurangi lemak dalam tubuh, menambah nafsu makan dan melancarkan bab",mengurangi lemak dalam tubuh menambah nafsu makan dan melancarkan bab,"['mengurangi', 'lemak', 'dalam', 'tubuh', 'menambah', 'nafsu', 'makan', 'dan', 'melancarkan', 'bab']","['mengurangi', 'lemak', 'tubuh', 'menambah', 'nafsu', 'makan', 'melancarkan', 'bab']","['kurang', 'lemak', 'tubuh', 'tambah', 'nafsu', 'makan', 'lancar', 'bab']"
jamu kecantikan,"perawatan khusus remaja putri, mengurangi bau badan dan mengatasi keputihan",Madura Sari,Jamu Perawatan Kewanitaan,75,"perawatan khusus remaja putri, mengurangi bau badan dan mengatasi keputihan",perawatan khusus remaja putri mengurangi bau badan dan mengatasi keputihan,"['perawatan', 'khusus', 'remaja', 'putri', 'mengurangi', 'bau', 'badan', 'dan', 'mengatasi', 'keputihan']","['perawatan', 'khusus', 'remaja', 'putri', 'mengurangi', 'bau', 'badan', 'mengatasi', 'keputihan']","['awat', 'khusus', 'remaja', 'putri', 'kurang', 'bau', 'badan', 'atas', 'putih']"
jamu galian montok,untuk menambah nafsu makan,Madura Sari,Jamu Kesehatan,26,untuk menambah nafsu makan,untuk menambah nafsu makan,"['untuk', 'menambah', 'nafsu', 'makan']","['menambah', 'nafsu', 'makan']","['tambah', 'nafsu', 'makan']"
jamu terlambat bulan (lancar darah),mengurangi nyeri haid dan melancarkan peredaran darah sehingga lebih teratur,Madura Sari,Jamu Perawatan Kewanitaan,76,mengurangi nyeri haid dan melancarkan peredaran darah sehingga lebih teratur,mengurangi nyeri haid dan melancarkan peredaran darah sehingga lebih teratur,"['mengurangi', 'nyeri', 'haid', 'dan', 'melancarkan', 'peredaran', 'darah', 'sehingga', 'lebih', 'teratur']","['mengurangi', 'nyeri', 'haid', 'melancarkan', 'peredaran', 'darah', 'teratur']","['kurang', 'nyeri', 'haid', 'lancar', 'edar', 'darah', 'atur']"
jamu melancarkan asi (pejje),melancarkan keluarnya ASI,Madura Sari,Jamu Perawatan Kewanitaan,25,melancarkan keluarnya asi,melancarkan keluarnya asi,"['melancarkan', 'keluarnya', 'asi']","['melancarkan', 'keluarnya', 'asi']","['lancar', 'keluar', 'asi']"
serbuk wasiat dan butiran delima,mengatasi keputihan dan lendir berlebih di area kewanitaan,Madura Sari,Jamu Perawatan Kewanitaan,58,mengatasi keputihan dan lendir berlebih di area kewanitaan,mengatasi keputihan dan lendir berlebih di area kewanitaan,"['mengatasi', 'keputihan', 'dan', 'lendir', 'berlebih', 'di', 'area', 'kewanitaan']","['mengatasi', 'keputihan', 'lendir', 'berlebih', 'area', 'kewanitaan']","['atas', 'putih', 'lendir', 'lebih', 'area', 'wanita']"
parfum rempah,menyegarkan bau badan dengan aroma khas rempah khas,Madura Sari,Jamu Kesehatan,51,menyegarkan bau badan dengan aroma khas rempah khas,menyegarkan bau badan dengan aroma khas rempah khas,"['menyegarkan', 'bau', 'badan', 'dengan', 'aroma', 'khas', 'rempah', 'khas']","['menyegarkan', 'bau', 'badan', 'aroma', 'khas', 'rempah', 'khas']","['segar', 'bau', 'badan', 'aroma', 'khas', 'rempah', 'khas']"
cebokan rempah,mengatasi keputihan dan gatal akibat bakteri dan jamur,Madura Sari,Jamu Perawatan Kewanitaan,54,mengatasi keputihan dan gatal akibat bakteri dan jamur,mengatasi keputihan dan gatal akibat bakteri dan jamur,"['mengatasi', 'keputihan', 'dan', 'gatal', 'akibat', 'bakteri', 'dan', 'jamur']","['mengatasi', 'keputihan', 'gatal', 'akibat', 'bakteri', 'jamur']","['atas', 'putih', 'gatal', 'akibat', 'bakteri', 'jamur']"
