Kategori,Nama,Khasiat,Produsen
Jamu Perawatan Kewanitaan,Galian Rapat Wangi,"mengurangi bau badan, mengurangi bau tidak sedap serta membuat rapet dan keset area kewanitaan",Madura Sari
Jamu Pasutri,Empot-empot legit,"Mengurangi lendir berlebih, mengatasi keputihan serta menimbulkan sensasi denyut saat berhubungan",Madura Sari
Jamu Kesehatan,galian singset,"mengurangi lemak dalam tubuh, menambah nafsu makan dan melancarkan BAB",Madura Sari
Jamu Perawatan Kewanitaan,jamu kecantikan,"perawatan khusus remaja putri, mengurangi bau badan dan mengatasi keputihan",Madura Sari
Jamu Kesehatan,jamu galian montok,untuk menambah nafsu makan,Madura Sari
Jamu Perawatan Kewanitaan,jamu terlambat bulan (lancar darah),mengurangi nyeri haid dan melancarkan peredaran darah sehingga lebih teratur,Madura Sari
Jamu Perawatan Kewanitaan,jamu melancarkan asi (pejje),melancarkan keluarnya ASI,Madura Sari
Jamu Perawatan Kewanitaan,serbuk wasiat dan butiran delima,mengatasi keputihan dan lendir berlebih di area kewanitaan,Madura Sari
Jamu Kesehatan,parfum rempah,menyegarkan bau badan dengan aroma khas rempah khas,Madura Sari
Jamu Perawatan Kewanitaan,cebokan rempah,mengatasi keputihan dan gatal akibat bakteri dan jamur,Madura Sari
Jamu Perawatan Kewanitaan,pancuran nikmat,antiseptik kewanitaan tanpa dibilas,Madura Sari
Jamu Perawatan Kewanitaan,sabun kesed,sabun khusus wanita untuk mengatasi keputihan,Madura Sari
Jamu Perawatan Kewanitaan,v-spa rempah,detoksifikasi kewanitaan agar bebas keputihan dan bau yang kurang sedap,Madura Sari
Jamu Perawatan Kewanitaan,jamu bersalin,"perawatan khusus pasca melahirkan, mengembalikan tubuh seperti semula, melancarkan ASI dan mencegah timbulnya varises",Madura Sari
Jamu Kesehatan,paket perawatan pranikah,"mengurangi bau badan, membuat kulit bersih dan lebih cerah",Madura Sari
Jamu Pasutri,1 paket ramuan khusus wanita,perawatan khusus wanita untuk menjaga tubuh tetap prima dan hubungan suami istri makin mesra,Madura Sari
Jamu Perawatan Kewanitaan,jamu penyubur kandungan,menyuburkan kandungan,Madura Sari
Jamu Kesehatan,cemceman rambut,mengatasi ketombe dan kerontokan rambut,Madura Sari
Jamu Pasutri,minyak bulus,mengencangkan kulit dan area khusus intim  baik pria maupun wanita (pasutri),Madura Sari
Jamu Kesehatan,minyak zaitun,merawat mengencangkan & menghaluskan kulit muka dan seluruh tubuh,Madura Sari
Jamu Kesehatan,lulur rempah,membuat kulit bersih serta tampak lebih cerah,Madura Sari
Jamu Kesehatan,bedak dingin,"masker bengkoang untuk mencerahkan wajah, memudarkan bekas jerawat dan mengecilkan pori",Madura Sari
Jamu Kesehatan,pegal linu,"mengurangi capek, nyeri sendi dan melancarkan peredaran darah",Madura Sari
Jamu Kesehatan,jamu pembersih darah,mengatasi gatal gatal dan alergi pada kulit,Madura Sari
Jamu Kesehatan,jamu kencing manis,menurunkan kadar gula dalam darah,Madura Sari
Jamu Kesehatan,bumbu minuman pokak,minuman herbal dari bahan jahe emprit,Madura Sari
Jamu Pasutri,1 paket jamu suami istri,mengharmoniskan hubungan intim suami istri,Madura Sari
Jamu Pasutri,Jamu ma'jun super (plus madu),"menambah stamina saat berhubungan , menambah masa otot dan melancarkan peredaran darah",Madura Sari
Jamu Pasutri,jamu jantan super,menjaga stamina tubuh agar tetap fit dalam berhubungan,Madura Sari
Jamu Pasutri,jamu aktivitas,penambah stamina khusus pekerja berat. Suplemen khusus untuk menambah stamina pria dalam berhubungan,Madura Sari
Jamu Kesehatan,jamu darah tinggi,menurunkan tekanan darah tinggi,Madura Sari
Jamu Pasutri,1 paket ramuan khusus pria,suplemen kuat khusus bagi pria untuk menjaga stamina dan kesehatan tubuh,Madura Sari
Jamu Perawatan Kewanitaan,Jamu Tradisional Madura,"Buat Kesehatan, Bau Badan, Keputihan",Jamu Tradisional Madura
Jamu Pasutri,Bom,"Untuk kuat berhubungan, dan Pegal - pegal",Jamu Assegaf
Jamu Kesehatan,Jamu Hitam,Untuk segala macam penyakit,Jamu Intan
Jamu Kesehatan,Jamu Pelintiran darah tinggi,"Menurunkan tekanan darah tinggi, menetralisir sirkulasi jantung, Menormalkan jantung kembali",Sari Madu
Jamu Pasutri,Empot-empot Super,Memulihkan elastisitas organ intim wanita;  Mengencangkan otot miss V;  Mengencangkan payudara;  Mengencangkan seluruh kulit shg tampak lebih muda;  Menambah gairah dan semangat dalam berhubungan suami istri;  Menghilangkan gatal di miss V,Firdaus Kurnia Indah
Jamu Kesehatan,Jamu selokarang,"Menurunkan pusing, panas dalam sakit gigi tenggorokan",Kampung Paseraman Kamal
Jamu Perawatan Kewanitaan,Jamu Bengkes,Awet Muda Wajah Berseri,Njonja Boolan
Jamu Pasutri,Empot Ayam Super,Melegitkan dan menghaluskan vagina; Mengencangkan otot kendur setelah melahirkan;  Menghilangkan bau serta gatal;  Mengatasi masalah ibu yang ikut bermacam  KB;  Untuk wanita frigid dan suami istri selalu harmonis; ,Jamu Pusaka Kraton Cakraningrat
Jamu Perawatan Kewanitaan,Jamu Delima Putih,Mengatasi keputihan / pektay,Jamu Putri Bangkalan
Jamu Kesehatan,Sariawan Sekalor,"Menyembuhkan radang gusi, radang tenggorokan, sakit gigi, sakit kepala, amandel, ambeien , demam, kolesterol dan mendetox darah.",Mustika Madura
Jamu Kesehatan,Galian Singset ( Susut Perut),"Melangsingkan badan, mengecilkan dan mengencangkan perut kendur, memadatkan tubuh,melancarkan BAB, membuat wajah segar dan tidak mudah keriput, menghilangkan selulit.",Mustika Madura
Jamu Pasutri,Sehat Laki-laki Perkasa,"Menambah stamina dan juga menambah hormon, Menghilangkan capek, Menjaga tubuh tetap perkasa, Tidak mudah masuk angin, Mengentalkan sperma, Mencegah ejakulasi dini.",Mustika Madura
Jamu Pasutri,Sari Rapet Empot-Empot,"Mengharumkan bagian kewanitaan, Menyembuhkan keputihan / gatal disebabkan bakteri, Merapatkan vagina, Mengencangkan otot rahim, Menambah keharmonisan rumah tangga.",Mustika Madura
Jamu Kesehatan,Pluntur(Pelancar Darah),"Melancarkan darah, menghilangkan pegal linu, menjaga stamina tubuh, mengurangi angka kelahiran.",Mustika Madura
Jamu Pasutri,Strong,"Menambah stamina tubuh, Menghilangkan capek Menjaga tubuh tetap perkasa,  Mengentalkan sperma, Mencegah ejakulasi dini, Tahan lama.",Pj. Alam Insani Herbal
Jamu Perawatan Kewanitaan,Seger Montok,"Mengencangkan dan memontokkan payudara, Memadatkan tubuh, Mencerahkan wajah, Memberi nafsu makan, Menyehatkan badan.",Mustika Madura
Jamu Pasutri,Rapet Wangi Spesial,"Mengharumkan bagian kewanitaan, Menyembuhkan keputihan / Gatal disebabkan bakteri, merapatkan vagina, Mengencangkan otot rahim, Menambah keharmonisan rumah tangga.",Mustika Madura
Jamu Kesehatan,Tolak Angin,"Menyembuhkan demam, pusing, perut mual, kembung, tenggorokan kering dan menambah daya tahan tubuh.",Mustika Madura
Jamu Perawatan Kewanitaan,Subur Kandungan,"untuk membantu menyehatkan, menyuburkan dan menguatkan kandungan. Jamu ini sangat baik bagi ibu-ibu yang sering keguguran dan sulit mendapatkan kehamilan.",Mustika Madura
Jamu Perawatan Kewanitaan,Sehat Wanita,"memadatkan tubuh, mengencangkan payudara yang kendur, menghilangkan bau badan, menyegarkan tubuh, menghilangkan letih, lesu & Capek, Mengencangkan kembali otot kewanitaan terutama pada wanita habis melahirkan, Membersihkan darah nifas, Merapatkankan kewanitaan, aman di konsumsi baik remaja perempuan maupun ibu, tidak disarankan mengkonsumsi untuk ibu hamil.",Mustika Madura
Jamu Pasutri,Sehat Laki-laki ( Helbeh),"Mengatasi lemah syahwat, Memperbaiki kualitas sperma, menambah /  Meningkatkan stamina (Pria  &  wanita)",Mustika Madura
Jamu Perawatan Kewanitaan,Natural Lulur Sari temugiring,"Menghaluskan dan mencerahkan kulit, melembabkan, menghilangkan bekas noda di tubuh.",Mustika Madura
Jamu Pasutri,Empot Sari Rapet,"mengembalikan masa keperawanan dan menambah keharmonisan dalam rumah tangga, memadatkan tubuh dan membuat badan lebih segar.",TOKO NUR
Jamu Perawatan Kewanitaan,Awet Muda,membantu memelihara kecantikan,TOKO NUR
Jamu Pasutri,Ma'jun,"menyembuhkan sakit pinggang, pegal linu, encok dan rematik, menghilangkan rasa lelah sehingga menambahan stamina dan syahwat",TOKO NUR
Jamu Kesehatan,Sale Karang,"Untuk sakit gigi, gusi bengkak dan gusi berdarah",TOKO NUR
Jamu Kesehatan,Ibu Hamil,biar tidak mudah capek,TOKO NUR
Jamu Kesehatan,Diabet,menstabilkan kadar gula,TOKO NUR
Jamu Kesehatan,Nafsu Makan,Untuk menambah nafsu makan,TOKO BU EMA
