Kategori,Nama,Khasiat,Produsen,Case_folding,punctuation_removal,tokenizing,stopwordremoval,stemming
Jamu Perawatan Kewanitaan,Galian Rapat Wangi,"mengurangi bau badan, mengurangi bau tidak sedap serta membuat rapet dan keset area kewanitaan",Madura Sari,"mengurangi bau badan, mengurangi bau tidak sedap serta membuat rapet dan keset area kewanitaan",mengurangi bau badan mengurangi bau tidak sedap serta membuat rapet dan keset area kewanitaan,"['mengurangi', 'bau', 'badan', 'mengurangi', 'bau', 'tidak', 'sedap', 'serta', 'membuat', 'rapet', 'dan', 'keset', 'area', 'kewanitaan']","['mengurangi', 'bau', 'badan', 'mengurangi', 'bau', 'sedap', 'rapet', 'keset', 'area', 'kewanitaan']","['kurang', 'bau', 'badan', 'kurang', 'bau', 'sedap', 'rapet', 'keset', 'area', 'wanita']"
Jamu Pasutri,Empot-empot legit,"Mengurangi lendir berlebih, mengatasi keputihan serta menimbulkan sensasi denyut saat berhubungan",Madura Sari,"mengurangi lendir berlebih, mengatasi keputihan serta menimbulkan sensasi denyut saat berhubungan",mengurangi lendir berlebih mengatasi keputihan serta menimbulkan sensasi denyut saat berhubungan,"['mengurangi', 'lendir', 'berlebih', 'mengatasi', 'keputihan', 'serta', 'menimbulkan', 'sensasi', 'denyut', 'saat', 'berhubungan']","['mengurangi', 'lendir', 'berlebih', 'mengatasi', 'keputihan', 'menimbulkan', 'sensasi', 'denyut', 'berhubungan']","['kurang', 'lendir', 'lebih', 'atas', 'putih', 'timbul', 'sensasi', 'denyut', 'hubung']"
Jamu Kesehatan,galian singset,"mengurangi lemak dalam tubuh, menambah nafsu makan dan melancarkan BAB",Madura Sari,"mengurangi lemak dalam tubuh, menambah nafsu makan dan melancarkan bab",mengurangi lemak dalam tubuh menambah nafsu makan dan melancarkan bab,"['mengurangi', 'lemak', 'dalam', 'tubuh', 'menambah', 'nafsu', 'makan', 'dan', 'melancarkan', 'bab']","['mengurangi', 'lemak', 'tubuh', 'menambah', 'nafsu', 'makan', 'melancarkan', 'bab']","['kurang', 'lemak', 'tubuh', 'tambah', 'nafsu', 'makan', 'lancar', 'bab']"
Jamu Perawatan Kewanitaan,jamu kecantikan,"perawatan khusus remaja putri, mengurangi bau badan dan mengatasi keputihan",Madura Sari,"perawatan khusus remaja putri, mengurangi bau badan dan mengatasi keputihan",perawatan khusus remaja putri mengurangi bau badan dan mengatasi keputihan,"['perawatan', 'khusus', 'remaja', 'putri', 'mengurangi', 'bau', 'badan', 'dan', 'mengatasi', 'keputihan']","['perawatan', 'khusus', 'remaja', 'putri', 'mengurangi', 'bau', 'badan', 'mengatasi', 'keputihan']","['awat', 'khusus', 'remaja', 'putri', 'kurang', 'bau', 'badan', 'atas', 'putih']"
Jamu Kesehatan,jamu galian montok,untuk menambah nafsu makan,Madura Sari,untuk menambah nafsu makan,untuk menambah nafsu makan,"['untuk', 'menambah', 'nafsu', 'makan']","['menambah', 'nafsu', 'makan']","['tambah', 'nafsu', 'makan']"
Jamu Perawatan Kewanitaan,jamu terlambat bulan (lancar darah),mengurangi nyeri haid dan melancarkan peredaran darah sehingga lebih teratur,Madura Sari,mengurangi nyeri haid dan melancarkan peredaran darah sehingga lebih teratur,mengurangi nyeri haid dan melancarkan peredaran darah sehingga lebih teratur,"['mengurangi', 'nyeri', 'haid', 'dan', 'melancarkan', 'peredaran', 'darah', 'sehingga', 'lebih', 'teratur']","['mengurangi', 'nyeri', 'haid', 'melancarkan', 'peredaran', 'darah', 'teratur']","['kurang', 'nyeri', 'haid', 'lancar', 'edar', 'darah', 'atur']"
Jamu Perawatan Kewanitaan,jamu melancarkan asi (pejje),melancarkan keluarnya ASI,Madura Sari,melancarkan keluarnya asi,melancarkan keluarnya asi,"['melancarkan', 'keluarnya', 'asi']","['melancarkan', 'keluarnya', 'asi']","['lancar', 'keluar', 'asi']"
Jamu Perawatan Kewanitaan,serbuk wasiat dan butiran delima,mengatasi keputihan dan lendir berlebih di area kewanitaan,Madura Sari,mengatasi keputihan dan lendir berlebih di area kewanitaan,mengatasi keputihan dan lendir berlebih di area kewanitaan,"['mengatasi', 'keputihan', 'dan', 'lendir', 'berlebih', 'di', 'area', 'kewanitaan']","['mengatasi', 'keputihan', 'lendir', 'berlebih', 'area', 'kewanitaan']","['atas', 'putih', 'lendir', 'lebih', 'area', 'wanita']"
Jamu Kesehatan,parfum rempah,menyegarkan bau badan dengan aroma khas rempah khas,Madura Sari,menyegarkan bau badan dengan aroma khas rempah khas,menyegarkan bau badan dengan aroma khas rempah khas,"['menyegarkan', 'bau', 'badan', 'dengan', 'aroma', 'khas', 'rempah', 'khas']","['menyegarkan', 'bau', 'badan', 'aroma', 'khas', 'rempah', 'khas']","['segar', 'bau', 'badan', 'aroma', 'khas', 'rempah', 'khas']"
Jamu Perawatan Kewanitaan,cebokan rempah,mengatasi keputihan dan gatal akibat bakteri dan jamur,Madura Sari,mengatasi keputihan dan gatal akibat bakteri dan jamur,mengatasi keputihan dan gatal akibat bakteri dan jamur,"['mengatasi', 'keputihan', 'dan', 'gatal', 'akibat', 'bakteri', 'dan', 'jamur']","['mengatasi', 'keputihan', 'gatal', 'akibat', 'bakteri', 'jamur']","['atas', 'putih', 'gatal', 'akibat', 'bakteri', 'jamur']"
Jamu Perawatan Kewanitaan,pancuran nikmat,antiseptik kewanitaan tanpa dibilas,Madura Sari,antiseptik kewanitaan tanpa dibilas,antiseptik kewanitaan tanpa dibilas,"['antiseptik', 'kewanitaan', 'tanpa', 'dibilas']","['antiseptik', 'kewanitaan', 'dibilas']","['antiseptik', 'wanita', 'bilas']"
Jamu Perawatan Kewanitaan,sabun kesed,sabun khusus wanita untuk mengatasi keputihan,Madura Sari,sabun khusus wanita untuk mengatasi keputihan,sabun khusus wanita untuk mengatasi keputihan,"['sabun', 'khusus', 'wanita', 'untuk', 'mengatasi', 'keputihan']","['sabun', 'khusus', 'wanita', 'mengatasi', 'keputihan']","['sabun', 'khusus', 'wanita', 'atas', 'putih']"
Jamu Perawatan Kewanitaan,v-spa rempah,detoksifikasi kewanitaan agar bebas keputihan dan bau yang kurang sedap,Madura Sari,detoksifikasi kewanitaan agar bebas keputihan dan bau yang kurang sedap,detoksifikasi kewanitaan agar bebas keputihan dan bau yang kurang sedap,"['detoksifikasi', 'kewanitaan', 'agar', 'bebas', 'keputihan', 'dan', 'bau', 'yang', 'kurang', 'sedap']","['detoksifikasi', 'kewanitaan', 'bebas', 'keputihan', 'bau', 'sedap']","['detoksifikasi', 'wanita', 'bebas', 'putih', 'bau', 'sedap']"
Jamu Perawatan Kewanitaan,jamu bersalin,"perawatan khusus pasca melahirkan, mengembalikan tubuh seperti semula, melancarkan ASI dan mencegah timbulnya varises",Madura Sari,"perawatan khusus pasca melahirkan, mengembalikan tubuh seperti semula, melancarkan asi dan mencegah timbulnya varises",perawatan khusus pasca melahirkan mengembalikan tubuh seperti semula melancarkan asi dan mencegah timbulnya varises,"['perawatan', 'khusus', 'pasca', 'melahirkan', 'mengembalikan', 'tubuh', 'seperti', 'semula', 'melancarkan', 'asi', 'dan', 'mencegah', 'timbulnya', 'varises']","['perawatan', 'khusus', 'pasca', 'melahirkan', 'mengembalikan', 'tubuh', 'melancarkan', 'asi', 'mencegah', 'timbulnya', 'varises']","['awat', 'khusus', 'pasca', 'lahir', 'kembali', 'tubuh', 'lancar', 'asi', 'cegah', 'timbul', 'varises']"
Jamu Kesehatan,paket perawatan pranikah,"mengurangi bau badan, membuat kulit bersih dan lebih cerah",Madura Sari,"mengurangi bau badan, membuat kulit bersih dan lebih cerah",mengurangi bau badan membuat kulit bersih dan lebih cerah,"['mengurangi', 'bau', 'badan', 'membuat', 'kulit', 'bersih', 'dan', 'lebih', 'cerah']","['mengurangi', 'bau', 'badan', 'kulit', 'bersih', 'cerah']","['kurang', 'bau', 'badan', 'kulit', 'bersih', 'cerah']"
Jamu Pasutri,1 paket ramuan khusus wanita,perawatan khusus wanita untuk menjaga tubuh tetap prima dan hubungan suami istri makin mesra,Madura Sari,perawatan khusus wanita untuk menjaga tubuh tetap prima dan hubungan suami istri makin mesra,perawatan khusus wanita untuk menjaga tubuh tetap prima dan hubungan suami istri makin mesra,"['perawatan', 'khusus', 'wanita', 'untuk', 'menjaga', 'tubuh', 'tetap', 'prima', 'dan', 'hubungan', 'suami', 'istri', 'makin', 'mesra']","['perawatan', 'khusus', 'wanita', 'menjaga', 'tubuh', 'prima', 'hubungan', 'suami', 'istri', 'mesra']","['awat', 'khusus', 'wanita', 'jaga', 'tubuh', 'prima', 'hubung', 'suami', 'istri', 'mesra']"
Jamu Perawatan Kewanitaan,jamu penyubur kandungan,menyuburkan kandungan,Madura Sari,menyuburkan kandungan,menyuburkan kandungan,"['menyuburkan', 'kandungan']","['menyuburkan', 'kandungan']","['subur', 'kandung']"
Jamu Kesehatan,cemceman rambut,mengatasi ketombe dan kerontokan rambut,Madura Sari,mengatasi ketombe dan kerontokan rambut,mengatasi ketombe dan kerontokan rambut,"['mengatasi', 'ketombe', 'dan', 'kerontokan', 'rambut']","['mengatasi', 'ketombe', 'kerontokan', 'rambut']","['atas', 'ketombe', 'rontok', 'rambut']"
Jamu Pasutri,minyak bulus,mengencangkan kulit dan area khusus intim  baik pria maupun wanita (pasutri),Madura Sari,mengencangkan kulit dan area khusus intim  baik pria maupun wanita (pasutri),mengencangkan kulit dan area khusus intim  baik pria maupun wanita pasutri,"['mengencangkan', 'kulit', 'dan', 'area', 'khusus', 'intim', 'baik', 'pria', 'maupun', 'wanita', 'pasutri']","['mengencangkan', 'kulit', 'area', 'khusus', 'intim', 'pria', 'wanita', 'pasutri']","['encang', 'kulit', 'area', 'khusus', 'intim', 'pria', 'wanita', 'pasutri']"
Jamu Kesehatan,minyak zaitun,merawat mengencangkan & menghaluskan kulit muka dan seluruh tubuh,Madura Sari,merawat mengencangkan & menghaluskan kulit muka dan seluruh tubuh,merawat mengencangkan  menghaluskan kulit muka dan seluruh tubuh,"['merawat', 'mengencangkan', 'menghaluskan', 'kulit', 'muka', 'dan', 'seluruh', 'tubuh']","['merawat', 'mengencangkan', 'menghaluskan', 'kulit', 'muka', 'tubuh']","['rawat', 'encang', 'halus', 'kulit', 'muka', 'tubuh']"
Jamu Kesehatan,lulur rempah,membuat kulit bersih serta tampak lebih cerah,Madura Sari,membuat kulit bersih serta tampak lebih cerah,membuat kulit bersih serta tampak lebih cerah,"['membuat', 'kulit', 'bersih', 'serta', 'tampak', 'lebih', 'cerah']","['kulit', 'bersih', 'cerah']","['kulit', 'bersih', 'cerah']"
Jamu Kesehatan,bedak dingin,"masker bengkoang untuk mencerahkan wajah, memudarkan bekas jerawat dan mengecilkan pori",Madura Sari,"masker bengkoang untuk mencerahkan wajah, memudarkan bekas jerawat dan mengecilkan pori",masker bengkoang untuk mencerahkan wajah memudarkan bekas jerawat dan mengecilkan pori,"['masker', 'bengkoang', 'untuk', 'mencerahkan', 'wajah', 'memudarkan', 'bekas', 'jerawat', 'dan', 'mengecilkan', 'pori']","['masker', 'bengkoang', 'mencerahkan', 'wajah', 'memudarkan', 'bekas', 'jerawat', 'mengecilkan', 'pori']","['masker', 'bengkoang', 'cerah', 'wajah', 'pudar', 'bekas', 'jerawat', 'kecil', 'pori']"
Jamu Kesehatan,pegal linu,"mengurangi capek, nyeri sendi dan melancarkan peredaran darah",Madura Sari,"mengurangi capek, nyeri sendi dan melancarkan peredaran darah",mengurangi capek nyeri sendi dan melancarkan peredaran darah,"['mengurangi', 'capek', 'nyeri', 'sendi', 'dan', 'melancarkan', 'peredaran', 'darah']","['mengurangi', 'capek', 'nyeri', 'sendi', 'melancarkan', 'peredaran', 'darah']","['kurang', 'capek', 'nyeri', 'sendi', 'lancar', 'edar', 'darah']"
Jamu Kesehatan,jamu pembersih darah,mengatasi gatal gatal dan alergi pada kulit,Madura Sari,mengatasi gatal gatal dan alergi pada kulit,mengatasi gatal gatal dan alergi pada kulit,"['mengatasi', 'gatal', 'gatal', 'dan', 'alergi', 'pada', 'kulit']","['mengatasi', 'gatal', 'gatal', 'alergi', 'kulit']","['atas', 'gatal', 'gatal', 'alergi', 'kulit']"
Jamu Kesehatan,jamu kencing manis,menurunkan kadar gula dalam darah,Madura Sari,menurunkan kadar gula dalam darah,menurunkan kadar gula dalam darah,"['menurunkan', 'kadar', 'gula', 'dalam', 'darah']","['menurunkan', 'kadar', 'gula', 'darah']","['turun', 'kadar', 'gula', 'darah']"
Jamu Kesehatan,bumbu minuman pokak,minuman herbal dari bahan jahe emprit,Madura Sari,minuman herbal dari bahan jahe emprit,minuman herbal dari bahan jahe emprit,"['minuman', 'herbal', 'dari', 'bahan', 'jahe', 'emprit']","['minuman', 'herbal', 'bahan', 'jahe', 'emprit']","['minum', 'herbal', 'bahan', 'jahe', 'emprit']"
Jamu Pasutri,1 paket jamu suami istri,mengharmoniskan hubungan intim suami istri,Madura Sari,mengharmoniskan hubungan intim suami istri,mengharmoniskan hubungan intim suami istri,"['mengharmoniskan', 'hubungan', 'intim', 'suami', 'istri']","['mengharmoniskan', 'hubungan', 'intim', 'suami', 'istri']","['harmonis', 'hubung', 'intim', 'suami', 'istri']"
Jamu Pasutri,Jamu ma'jun super (plus madu),"menambah stamina saat berhubungan , menambah masa otot dan melancarkan peredaran darah",Madura Sari,"menambah stamina saat berhubungan , menambah masa otot dan melancarkan peredaran darah",menambah stamina saat berhubungan  menambah masa otot dan melancarkan peredaran darah,"['menambah', 'stamina', 'saat', 'berhubungan', 'menambah', 'masa', 'otot', 'dan', 'melancarkan', 'peredaran', 'darah']","['menambah', 'stamina', 'berhubungan', 'menambah', 'otot', 'melancarkan', 'peredaran', 'darah']","['tambah', 'stamina', 'hubung', 'tambah', 'otot', 'lancar', 'edar', 'darah']"
Jamu Pasutri,jamu jantan super,menjaga stamina tubuh agar tetap fit dalam berhubungan,Madura Sari,menjaga stamina tubuh agar tetap fit dalam berhubungan,menjaga stamina tubuh agar tetap fit dalam berhubungan,"['menjaga', 'stamina', 'tubuh', 'agar', 'tetap', 'fit', 'dalam', 'berhubungan']","['menjaga', 'stamina', 'tubuh', 'fit', 'berhubungan']","['jaga', 'stamina', 'tubuh', 'fit', 'hubung']"
Jamu Pasutri,jamu aktivitas,penambah stamina khusus pekerja berat. Suplemen khusus untuk menambah stamina pria dalam berhubungan,Madura Sari,penambah stamina khusus pekerja berat. suplemen khusus untuk menambah stamina pria dalam berhubungan,penambah stamina khusus pekerja berat suplemen khusus untuk menambah stamina pria dalam berhubungan,"['penambah', 'stamina', 'khusus', 'pekerja', 'berat', 'suplemen', 'khusus', 'untuk', 'menambah', 'stamina', 'pria', 'dalam', 'berhubungan']","['penambah', 'stamina', 'khusus', 'pekerja', 'berat', 'suplemen', 'khusus', 'menambah', 'stamina', 'pria', 'berhubungan']","['tambah', 'stamina', 'khusus', 'kerja', 'berat', 'suplemen', 'khusus', 'tambah', 'stamina', 'pria', 'hubung']"
Jamu Kesehatan,jamu darah tinggi,menurunkan tekanan darah tinggi,Madura Sari,menurunkan tekanan darah tinggi,menurunkan tekanan darah tinggi,"['menurunkan', 'tekanan', 'darah', 'tinggi']","['menurunkan', 'tekanan', 'darah']","['turun', 'tekan', 'darah']"
Jamu Pasutri,1 paket ramuan khusus pria,suplemen kuat khusus bagi pria untuk menjaga stamina dan kesehatan tubuh,Madura Sari,suplemen kuat khusus bagi pria untuk menjaga stamina dan kesehatan tubuh,suplemen kuat khusus bagi pria untuk menjaga stamina dan kesehatan tubuh,"['suplemen', 'kuat', 'khusus', 'bagi', 'pria', 'untuk', 'menjaga', 'stamina', 'dan', 'kesehatan', 'tubuh']","['suplemen', 'kuat', 'khusus', 'pria', 'menjaga', 'stamina', 'kesehatan', 'tubuh']","['suplemen', 'kuat', 'khusus', 'pria', 'jaga', 'stamina', 'sehat', 'tubuh']"
Jamu Perawatan Kewanitaan,Jamu Tradisional Madura,"Buat Kesehatan, Bau Badan, Keputihan",Jamu Tradisional Madura,"buat kesehatan, bau badan, keputihan",buat kesehatan bau badan keputihan,"['buat', 'kesehatan', 'bau', 'badan', 'keputihan']","['kesehatan', 'bau', 'badan', 'keputihan']","['sehat', 'bau', 'badan', 'putih']"
Jamu Pasutri,Bom,"Untuk kuat berhubungan, dan Pegal - pegal",Jamu Assegaf,"untuk kuat berhubungan, dan pegal - pegal",untuk kuat berhubungan dan pegal  pegal,"['untuk', 'kuat', 'berhubungan', 'dan', 'pegal', 'pegal']","['kuat', 'berhubungan', 'pegal', 'pegal']","['kuat', 'hubung', 'pegal', 'pegal']"
Jamu Kesehatan,Jamu Hitam,Untuk segala macam penyakit,Jamu Intan,untuk segala macam penyakit,untuk segala macam penyakit,"['untuk', 'segala', 'macam', 'penyakit']",['penyakit'],['sakit']
Jamu Kesehatan,Jamu Pelintiran darah tinggi,"Menurunkan tekanan darah tinggi, menetralisir sirkulasi jantung, Menormalkan jantung kembali",Sari Madu,"menurunkan tekanan darah tinggi, menetralisir sirkulasi jantung, menormalkan jantung kembali",menurunkan tekanan darah tinggi menetralisir sirkulasi jantung menormalkan jantung kembali,"['menurunkan', 'tekanan', 'darah', 'tinggi', 'menetralisir', 'sirkulasi', 'jantung', 'menormalkan', 'jantung', 'kembali']","['menurunkan', 'tekanan', 'darah', 'menetralisir', 'sirkulasi', 'jantung', 'menormalkan', 'jantung']","['turun', 'tekan', 'darah', 'menetralisir', 'sirkulasi', 'jantung', 'normal', 'jantung']"
Jamu Pasutri,Empot-empot Super,Memulihkan elastisitas organ intim wanita;  Mengencangkan otot miss V;  Mengencangkan payudara;  Mengencangkan seluruh kulit shg tampak lebih muda;  Menambah gairah dan semangat dalam berhubungan suami istri;  Menghilangkan gatal di miss V,Firdaus Kurnia Indah,memulihkan elastisitas organ intim wanita;  mengencangkan otot miss v;  mengencangkan payudara;  mengencangkan seluruh kulit shg tampak lebih muda;  menambah gairah dan semangat dalam berhubungan suami istri;  menghilangkan gatal di miss v,memulihkan elastisitas organ intim wanita  mengencangkan otot miss v  mengencangkan payudara  mengencangkan seluruh kulit shg tampak lebih muda  menambah gairah dan semangat dalam berhubungan suami istri  menghilangkan gatal di miss v,"['memulihkan', 'elastisitas', 'organ', 'intim', 'wanita', 'mengencangkan', 'otot', 'miss', 'v', 'mengencangkan', 'payudara', 'mengencangkan', 'seluruh', 'kulit', 'shg', 'tampak', 'lebih', 'muda', 'menambah', 'gairah', 'dan', 'semangat', 'dalam', 'berhubungan', 'suami', 'istri', 'menghilangkan', 'gatal', 'di', 'miss', 'v']","['memulihkan', 'elastisitas', 'organ', 'intim', 'wanita', 'mengencangkan', 'otot', 'miss', 'v', 'mengencangkan', 'payudara', 'mengencangkan', 'kulit', 'shg', 'muda', 'menambah', 'gairah', 'semangat', 'berhubungan', 'suami', 'istri', 'menghilangkan', 'gatal', 'miss', 'v']","['pulih', 'elastisitas', 'organ', 'intim', 'wanita', 'encang', 'otot', 'miss', 'v', 'encang', 'payudara', 'encang', 'kulit', 'shg', 'muda', 'tambah', 'gairah', 'semangat', 'hubung', 'suami', 'istri', 'hilang', 'gatal', 'miss', 'v']"
Jamu Kesehatan,Jamu selokarang,"Menurunkan pusing, panas dalam sakit gigi tenggorokan",Kampung Paseraman Kamal,"menurunkan pusing, panas dalam sakit gigi tenggorokan",menurunkan pusing panas dalam sakit gigi tenggorokan,"['menurunkan', 'pusing', 'panas', 'dalam', 'sakit', 'gigi', 'tenggorokan']","['menurunkan', 'pusing', 'panas', 'sakit', 'gigi', 'tenggorokan']","['turun', 'pusing', 'panas', 'sakit', 'gigi', 'tenggorok']"
Jamu Perawatan Kewanitaan,Jamu Bengkes,Awet Muda Wajah Berseri,Njonja Boolan,awet muda wajah berseri,awet muda wajah berseri,"['awet', 'muda', 'wajah', 'berseri']","['awet', 'muda', 'wajah', 'berseri']","['awet', 'muda', 'wajah', 'seri']"
Jamu Pasutri,Empot Ayam Super,Melegitkan dan menghaluskan vagina; Mengencangkan otot kendur setelah melahirkan;  Menghilangkan bau serta gatal;  Mengatasi masalah ibu yang ikut bermacam  KB;  Untuk wanita frigid dan suami istri selalu harmonis; ,Jamu Pusaka Kraton Cakraningrat,melegitkan dan menghaluskan vagina; mengencangkan otot kendur setelah melahirkan;  menghilangkan bau serta gatal;  mengatasi masalah ibu yang ikut bermacam  kb;  untuk wanita frigid dan suami istri selalu harmonis; ,melegitkan dan menghaluskan vagina mengencangkan otot kendur setelah melahirkan  menghilangkan bau serta gatal  mengatasi masalah ibu yang ikut bermacam  kb  untuk wanita frigid dan suami istri selalu harmonis ,"['melegitkan', 'dan', 'menghaluskan', 'vagina', 'mengencangkan', 'otot', 'kendur', 'setelah', 'melahirkan', 'menghilangkan', 'bau', 'serta', 'gatal', 'mengatasi', 'masalah', 'ibu', 'yang', 'ikut', 'bermacam', 'kb', 'untuk', 'wanita', 'frigid', 'dan', 'suami', 'istri', 'selalu', 'harmonis']","['melegitkan', 'menghaluskan', 'vagina', 'mengencangkan', 'otot', 'kendur', 'melahirkan', 'menghilangkan', 'bau', 'gatal', 'mengatasi', 'kb', 'wanita', 'frigid', 'suami', 'istri', 'harmonis']","['legit', 'halus', 'vagina', 'encang', 'otot', 'kendur', 'lahir', 'hilang', 'bau', 'gatal', 'atas', 'kb', 'wanita', 'frigid', 'suami', 'istri', 'harmonis']"
Jamu Perawatan Kewanitaan,Jamu Delima Putih,Mengatasi keputihan / pektay,Jamu Putri Bangkalan,mengatasi keputihan / pektay,mengatasi keputihan  pektay,"['mengatasi', 'keputihan', 'pektay']","['mengatasi', 'keputihan', 'pektay']","['atas', 'putih', 'pektay']"
Jamu Kesehatan,Sariawan Sekalor,"Menyembuhkan radang gusi, radang tenggorokan, sakit gigi, sakit kepala, amandel, ambeien , demam, kolesterol dan mendetox darah.",Mustika Madura,"menyembuhkan radang gusi, radang tenggorokan, sakit gigi, sakit kepala, amandel, ambeien , demam, kolesterol dan mendetox darah.",menyembuhkan radang gusi radang tenggorokan sakit gigi sakit kepala amandel ambeien  demam kolesterol dan mendetox darah,"['menyembuhkan', 'radang', 'gusi', 'radang', 'tenggorokan', 'sakit', 'gigi', 'sakit', 'kepala', 'amandel', 'ambeien', 'demam', 'kolesterol', 'dan', 'mendetox', 'darah']","['menyembuhkan', 'radang', 'gusi', 'radang', 'tenggorokan', 'sakit', 'gigi', 'sakit', 'kepala', 'amandel', 'ambeien', 'demam', 'kolesterol', 'mendetox', 'darah']","['sembuh', 'radang', 'gusi', 'radang', 'tenggorok', 'sakit', 'gigi', 'sakit', 'kepala', 'amandel', 'ambeien', 'demam', 'kolesterol', 'mendetox', 'darah']"
